tissue,tf,plus,minus,unknown,total,score,imputed
MESOTHELIALEPICARDIUM,GSC2,1560,2037,0,3597,-0.13261050875729774,False
MESOTHELIALEPICARDIUM,MSANTD3,1310,1560,0,2870,-0.08710801393728224,False
MESOTHELIALEPICARDIUM,TBX5,1393,1468,0,2861,-0.026214610276127228,False
MESOTHELIALEPICARDIUM,NKX2-4,1018,1692,0,2710,-0.24870848708487084,False
MESOTHELIALEPICARDIUM,NR2C1,1240,1291,0,2531,-0.020150138285262742,False
MESOTHELIALEPICARDIUM,OTX2,1072,1494,0,2566,-0.16445830085736554,False
MESOTHELIALEPICARDIUM,BARX2,1495,1474,0,2969,0.007073088582014146,False
MESOTHELIALEPICARDIUM,ZNF354A,1038,1538,0,2576,-0.19409937888198758,False
MESOTHELIALEPICARDIUM,VSX1,1182,1363,0,2545,-0.07111984282907662,False
MESOTHELIALEPICARDIUM,MEIS3,1176,1448,0,2624,-0.10365853658536585,False
MESOTHELIALEPICARDIUM,RBPJ,1385,1185,0,2570,0.07782101167315175,False
MESOTHELIALEPICARDIUM,FOXD3,940,1419,0,2359,-0.20305214073760067,False
MESOTHELIALEPICARDIUM,MXI1,1249,1179,0,2428,0.028830313014827018,False
MESOTHELIALEPICARDIUM,NKX2-8,1033,1576,0,2609,-0.20812571866615562,False
MESOTHELIALEPICARDIUM,MEF2A,678,1285,0,1963,-0.3092205807437596,False
MESOTHELIALEPICARDIUM,POU5F1,1257,1173,0,2430,0.0345679012345679,False
MESOTHELIALEPICARDIUM,SOX9,804,1446,0,2250,-0.2853333333333333,False
OSTEOCYTE,ZNF384,8158,8722,0,16880,-0.033412322274881515,False
OSTEOCYTE,NFIX,4045,4564,0,8609,-0.06028574747357417,False
OSTEOCYTE,MEIS1,3355,4347,0,7702,-0.12879771487925215,False
OSTEOCYTE,SOX15,3977,3596,0,7573,0.05031031295391523,False
OSTEOCYTE,RHOXF1,2888,3322,0,6210,-0.06988727858293076,False
OSTEOCYTE,GSX1,3996,3460,0,7456,0.07188841201716738,False
OSTEOCYTE,SRY,4120,3252,0,7372,0.11774281063483451,False
OSTEOCYTE,SHOX,3741,3145,0,6886,0.08655242521057217,False
OSTEOCYTE,ISL2,3128,2890,0,6018,0.03954802259887006,False
OSTEOCYTE,NFATC3,4005,2539,0,6544,0.22402200488997556,False
OSTEOCYTE,ALX3,3077,2408,0,5485,0.12196900638103919,False
OSTEOCYTE,FOXP3,2890,2184,0,5074,0.1391407173827355,False
OSTEOCYTE,HIC2,1973,2071,0,4044,-0.02423343224530168,False
OSTEOCYTE,NKX6-2,2568,2423,0,4991,0.02905229412943298,False
OSTEOCYTE,ZNF354C,1758,2140,0,3898,-0.09799897383273473,False
OSTEOCYTE,HOXA7,2297,2072,0,4369,0.05149919890135042,False
OSTEOCYTE,HOXA6,2022,2077,0,4099,-0.01341790680653818,False
OSTEOCYTE,MEOX2,2324,1793,0,4117,0.1289774107359728,False
OSTEOCYTE,HOXA10,2471,1722,0,4193,0.17863105175292154,False
OSTEOCYTE,VAX1,2161,1730,0,3891,0.11076843998971987,False
OSTEOCYTE,BARHL2,2234,1703,0,3937,0.1348742697485395,False
OSTEOCYTE,VAX2,2094,1685,0,3779,0.1082296903942842,False
OSTEOCYTE,HOXB3,1809,1746,0,3555,0.017721518987341773,False
OSTEOCYTE,GSC2,1328,2015,0,3343,-0.20550403828896202,False
OSTEOCYTE,MSANTD3,1309,1553,0,2862,-0.08525506638714186,False
OSTEOCYTE,TBX5,1262,1423,0,2685,-0.059962756052141526,False
OSTEOCYTE,NKX2-4,1058,1597,0,2655,-0.20301318267419963,False
OSTEOCYTE,NR2C1,1205,1196,0,2401,0.003748438150770512,False
OSTEOCYTE,OTX2,1159,1392,0,2551,-0.09133673069384556,False
OSTEOCYTE,BARX2,1740,1504,0,3244,0.07274969173859433,False
OSTEOCYTE,ZNF354A,1423,1486,0,2909,-0.021656926778961843,False
OSTEOCYTE,VSX1,1369,1306,0,2675,0.02355140186915888,False
OSTEOCYTE,MEIS3,1121,1442,0,2563,-0.12524385485758877,False
OSTEOCYTE,RBPJ,1201,1138,0,2339,0.026934587430525864,False
OSTEOCYTE,FOXD3,1380,1291,0,2671,0.03332085361287907,False
OSTEOCYTE,MXI1,1159,1096,0,2255,0.027937915742793792,False
OSTEOCYTE,NKX2-8,1037,1478,0,2515,-0.1753479125248509,False
OSTEOCYTE,MEF2A,1172,1170,0,2342,0.0008539709649871904,False
OSTEOCYTE,POU5F1,1421,1107,0,2528,0.12420886075949367,False
OSTEOCYTE,SOX9,838,1351,0,2189,-0.23435358611238008,False
NEURALCREST,ZNF384,4945,8462,0,13407,-0.2623256507794436,False
NEURALCREST,NFIX,4495,4597,0,9092,-0.011218653761548614,False
NEURALCREST,MEIS1,3201,4365,0,7566,-0.15384615384615385,False
NEURALCREST,SOX15,3671,3704,0,7375,-0.0044745762711864406,False
NEURALCREST,RHOXF1,3151,3444,0,6595,-0.0444275966641395,False
NEURALCREST,GSX1,3004,3278,0,6282,-0.04361668258516396,False
NEURALCREST,SRY,3115,3155,0,6270,-0.006379585326953748,False
NEURALCREST,SHOX,2623,3070,0,5693,-0.07851747760407518,False
NEURALCREST,ISL2,2843,2942,0,5785,-0.01711322385479689,False
NEURALCREST,NFATC3,3535,2413,0,5948,0.1886348352387357,False
NEURALCREST,ALX3,2196,2347,0,4543,-0.03323794849218578,False
NEURALCREST,FOXP3,2499,2227,0,4726,0.05755395683453238,False
NEURALCREST,HIC2,2679,2099,0,4778,0.12138970280452072,False
NEURALCREST,NKX6-2,1827,2238,0,4065,-0.1011070110701107,False
NEURALCREST,ZNF354C,2263,2232,0,4495,0.006896551724137931,False
NEURALCREST,HOXA7,1677,1979,0,3656,-0.0826039387308534,False
NEURALCREST,HOXA6,1677,2066,0,3743,-0.10392733101790008,False
NEURALCREST,MEOX2,2037,1745,0,3782,0.07720782654680064,False
NEURALCREST,HOXA10,1653,1633,0,3286,0.006086427267194157,False
NEURALCREST,VAX1,1701,1730,0,3431,-0.008452346254736228,False
NEURALCREST,BARHL2,1847,1694,0,3541,0.043208133295679185,False
NEURALCREST,VAX2,1668,1717,0,3385,-0.01447562776957164,False
NEURALCREST,HOXB3,1276,1692,0,2968,-0.14016172506738545,False
NEURALCREST,GSC2,1202,2078,0,3280,-0.26707317073170733,False
NEURALCREST,MSANTD3,1615,1496,0,3111,0.03825136612021858,False
NEURALCREST,TBX5,1469,1537,0,3006,-0.02262142381902861,False
NEURALCREST,NKX2-4,1143,1579,0,2722,-0.16017634092578986,False
NEURALCREST,NR2C1,1597,1271,0,2868,0.11366806136680614,False
NEURALCREST,OTX2,1046,1395,0,2441,-0.14297419090536664,False
NEURALCREST,BARX2,1109,1371,0,2480,-0.10564516129032259,False
NEURALCREST,ZNF354A,839,1477,0,2316,-0.2754749568221071,False
NEURALCREST,VSX1,977,1383,0,2360,-0.17203389830508475,False
NEURALCREST,MEIS3,1198,1468,0,2666,-0.10127531882970743,False
NEURALCREST,RBPJ,1504,1193,0,2697,0.11531331108639228,False
NEURALCREST,FOXD3,838,1322,0,2160,-0.22407407407407406,False
NEURALCREST,MXI1,1421,1227,0,2648,0.07326283987915408,False
NEURALCREST,NKX2-8,929,1488,0,2417,-0.2312784443525031,False
NEURALCREST,MEF2A,643,1189,0,1832,-0.2980349344978166,False
NEURALCREST,POU5F1,1129,1118,0,2247,0.004895416110369382,False
NEURALCREST,SOX9,1044,1358,0,2402,-0.13072439633638636,False
STOMACH,ZNF384,11104,8140,0,19244,0.15402203284140512,False
STOMACH,NFIX,4996,4251,0,9247,0.08056667027143939,False
STOMACH,MEIS1,2289,3919,0,6208,-0.26256443298969073,False
STOMACH,SOX15,3261,3419,0,6680,-0.023652694610778444,False
STOMACH,RHOXF1,4656,3101,0,7757,0.2004640969446951,False
STOMACH,GSX1,2922,3191,0,6113,-0.04400458040242107,False
STOMACH,SRY,2452,2832,0,5284,-0.07191521574564724,False
STOMACH,SHOX,2594,3068,0,5662,-0.08371600141292829,False
STOMACH,ISL2,3021,2778,0,5799,0.04190377651319193,False
STOMACH,NFATC3,2667,2292,0,4959,0.07562008469449485,False
STOMACH,ALX3,1972,2336,0,4308,-0.08449396471680594,False
STOMACH,FOXP3,2146,2016,0,4162,0.0312349831811629,False
STOMACH,HIC2,3028,1907,0,4935,0.2271529888551165,False
STOMACH,NKX6-2,1779,2195,0,3974,-0.1046804227478611,False
STOMACH,ZNF354C,2265,1881,0,4146,0.09261939218523878,False
STOMACH,HOXA7,1631,1839,0,3470,-0.05994236311239193,False
STOMACH,HOXA6,1434,1898,0,3332,-0.13925570228091236,False
STOMACH,MEOX2,1442,1622,0,3064,-0.0587467362924282,False
STOMACH,HOXA10,1672,1572,0,3244,0.030826140567200986,False
STOMACH,VAX1,1444,1712,0,3156,-0.08491761723700887,False
STOMACH,BARHL2,1482,1511,0,2993,-0.00968927497494153,False
STOMACH,VAX2,1325,1640,0,2965,-0.10623946037099494,False
STOMACH,HOXB3,1952,1556,0,3508,0.11288483466362599,False
STOMACH,GSC2,1076,1884,0,2960,-0.27297297297297296,False
STOMACH,MSANTD3,1768,1373,0,3141,0.12575612862145813,False
STOMACH,TBX5,1742,1275,0,3017,0.15478952601922438,False
STOMACH,NKX2-4,1708,1419,0,3127,0.09242085065558042,False
STOMACH,NR2C1,1734,1244,0,2978,0.16453995970449967,False
STOMACH,OTX2,2071,1330,0,3401,0.21787709497206703,False
STOMACH,BARX2,1486,1331,0,2817,0.055023074192403265,False
STOMACH,ZNF354A,1374,1339,0,2713,0.012900847769996313,False
STOMACH,VSX1,1710,1250,0,2960,0.1554054054054054,False
STOMACH,MEIS3,1086,1273,0,2359,-0.07927087749046206,False
